"COUNTRY","Country","YEAR","Year","ISC11","ISCED 2011","AGE","Age","SEX","Gender","INDICATOR","Indicator","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BFR","French com. (Belgium)","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y35T44","35-44 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,49125.6379918337,,
"BFR","French com. (Belgium)","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y35T44","35-44 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,59047.7101893096,,
"BFR","French com. (Belgium)","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","Y45T54","45-54 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,58053.5333147736,,
"BFR","French com. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","Y45T54","45-54 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,57853.1226800297,,
"BFR","French com. (Belgium)","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y45T54","45-54 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,55822.2554751299,,
"BFR","French com. (Belgium)","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y45T54","45-54 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,68293.8126391982,,
"BFR","French com. (Belgium)","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","Y55T64","55-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,62228.1806792873,,
"BFR","French com. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","Y55T64","55-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,61561.2240163326,,
"BFR","French com. (Belgium)","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y55T64","55-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,61036.4119339272,,
"BFR","French com. (Belgium)","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y55T64","55-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,74539.1262991834,,
"AUS","Australia","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,55283.322033597,,
"AUS","Australia","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","F","Women","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,55283.322033597,,
"AUS","Australia","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","M","Men","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,55283.322033597,,
"AUS","Australia","2017","2017","L1","Primary education (ISCED2011 level 1)","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,55312.3525242992,,
"AUS","Australia","2017","2017","L1","Primary education (ISCED2011 level 1)","Y25T64","25-64 years","F","Women","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,55312.3525242992,,
"AUS","Australia","2017","2017","L1","Primary education (ISCED2011 level 1)","Y25T64","25-64 years","M","Men","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,55312.3525242992,,
"AUS","Australia","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,56196.3481380082,,
